1.Basin.Name;2.Country;3.Ecoregion;4.Endorheic.Status;5.Outlet.Longitude;6.Outlet.Latitude;7.Median.Longitude;8.Median.Latitude;9.Surface.Area
Cachoeirinha;Brazil;Neotropic;;-43.10344398;-22.69365814;-43.06899022;-22.59511097;228.8151002
Comprido;Brazil;Neotropic;;-47.07733956;-24.45157071;-47.15299576;-24.46583143;204.7976789
Arroyo.Walker;Argentina;Neotropic;;-62.29921723;-40.62889793;-62.59624879;-40.50734412;969.1560602
Aconcagua;Chile;Neotropic;;-71.53604087;-32.91282215;-70.65645485;-32.77064478;7318.876825
Amazon;Brazil;Neotropic;;-52.23408978;-1.619426375;-64.57285505;-6.714857006;5888416.916
Andalien;Chile;Neotropic;;-73.0913557;-36.66454079;-72.81967683;-36.82492457;767.4691481
Approuague;French Guiana;Neotropic;;-52.0002657;4.348003145;-52.66731402;3.804336017;9116.606502
Aroa;Venezuela;Neotropic;;-68.29778914;10.68776226;-68.75186402;10.55250045;2453.034502
Atrato;Colombia;Neotropic;;-76.85855499;8.083147714;-76.76057531;6.620450274;35364.92388
Baudo;Colombia;Neotropic;;-77.35822113;4.957664935;-77.05401234;5.395638415;4066.711983
Bayano;Panama;Neotropic;;-79.06477982;8.976049785;-78.62360052;9.120453707;4893.576084
Benevente;Brazil;Neotropic;;-40.64613107;-20.8081073;-40.7606472;-20.60872706;1121.512895
Biobio;Chile;Neotropic;;-73.14928452;-36.81613133;-71.95763332;-37.73809655;24265.07833
Bueno;Chile;Neotropic;;-73.7213639;-40.20891693;-72.69476165;-40.53831432;15106.73826
Buranhem;Brazil;Neotropic;;-39.05250421;-16.46083026;-39.87943743;-16.49139476;2692.104961
Cachoeira;Brazil;Neotropic;;-39.03316175;-14.81569081;-39.62506611;-15.0070776;4758.416768
Cahy;Brazil;Neotropic;;-39.1599285;-17.01781111;-39.32995767;-17.00864415;425.6303552
Caraiva;Brazil;Neotropic;;-39.13597572;-16.84167583;-39.40083911;-16.748974;1318.412395
Carvao;Brazil;Neotropic;;-50.11602578;-29.98371909;-50.14765226;-29.59082357;2459.291191
Catatumbo;Venezuela;Neotropic;;-71.74821937;9.336310126;-72.71160998;8.512470203;27438.40275
Comte;French Guiana;Neotropic;;-52.33386925;4.776429028;-52.5249897;4.459729103;3605.025041
Copiapo;Chile;Neotropic;;-70.93367557;-27.30494705;-69.77594696;-27.59060836;18441.52991
Coppename;Suriname;Neotropic;;-55.89769447;5.699342353;-56.2010064;4.721800832;21111.32012
Corantijn;Suriname;Neotropic;;-57.18186172;5.528686413;-57.2498763;3.194281693;64001.2765
Corrientes;Brazil;Neotropic;;-52.0025338;-31.51852881;-52.34330963;-31.35793948;865.0393032
Corumbau;Brazil;Neotropic;;-39.13113917;-16.91313048;-39.28421967;-16.90360367;272.4706635
Cubatao;Brazil;Neotropic;;-48.7578871;-26.20903715;-48.95260364;-26.13771243;802.3228583
Cusewijne;Suriname;Neotropic;;-55.07366678;5.880346378;-54.67605434;5.451868707;5070.135979
Dagua;Colombia;Neotropic;;-77.12499046;3.820335405;-76.6979922;3.735485184;1452.980088
Das.Almas;Brazil;Neotropic;;-39.08886222;-13.58839348;-39.56627753;-13.65929511;2991.339642
Demerara;Guyana;Neotropic;;-58.07066824;6.819407505;-58.39336236;5.596718761;7415.020908
Doce;Brazil;Neotropic;;-39.78274544;-19.59361949;-42.23908717;-19.44472085;82688.22301
