1.Basin.Name;2.Type.Source;3.Reference
Aa;online.database;Onema - http://www.sandre.eaufrance.fr (consulted in 2012)
Abant.lake;book;Geldiay R. & Balik S. 1996. Turkiye Tatlisu Baliklari. Ege Universitesi Su Urunleri Fakultesi Yayinlari No: 46. Ders Kitabi Dazini No:16. 532p.
Abashiri;book;Matsuura et al. 2000. Distribution of freshwater fishes in Japan. Supplement to the catalogue of the freshwater fish collection in the National Science Museum, Tokyo. National Science Museum, Tokyo
Abhe.Bad;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Abogain.Gol;paper;Zhao 1982. Fishes of Abogain Gol river in Nei Mongol Ziziqu, China. Journal of Lanzhou University (Natural Sciences), 18:112-118
Abu.gawa;book;Matsuura et al. 2000. Distribution of freshwater fishes in Japan. Supplement to the catalogue of the freshwater fish collection in the National Science Museum, Tokyo. National Science Museum, Tokyo
Abukuma;book;Matsuura et al. 2000. Distribution of freshwater fishes in Japan. Supplement to the catalogue of the freshwater fish collection in the National Science Museum, Tokyo. National Science Museum, Tokyo
Abula;book;Ojaveer et al. 2003. Fishes of Estonia. Estonian Academy Publishers, Tallin, Estonia
Acaponeta;book;Rush-Miller R.. 2005. Freshwater Fishes of México. The University of Chicago Press, 490 p. ISBN 0-226-52604-6.
Aceh;paper;Muchlisin & Siti Azizah 2009. Diversity and distribution of freshwater fishes in Aceh water, Northern-Sumatra, Indonesia. International Journal of Zoological Research 5:62-79
Acheloos;paper;Economou et al. 2007. The freshwater ichthyofauna of Greece - an update based on a hydrographic basin survey. Mediterranean Marine Science, Volume 8/1, 2007, 91-166
Acisu;paper;Küçük F.R. & Ikiz R.. 2004. Antalya Körfezi'ne Dökülen Akarsularin Balik Faunasi. Su Ürünleri Dergisi, 21: 287-294.
Aconcagua;paper;Arratia G., Rojas G. & Chang A.. 1981. Generos de peces de aguas continentales de Chile. M.N.H.N Publicatión Ocasional, Universidad de chile, 34: 3-104.
